T_over_M,Re_psi4_22,Im_psi4_22
2.500000000000000000e-01,1.637067697271446472e-42,-1.571447398844637725e-44
5.000000000000000000e-01,1.007115118292447781e-36,-9.431907394443241560e-38
7.500000000000000000e-01,-2.950637174421338023e-33,4.252537751630782366e-34
1.000000000000000000e+00,5.241404571007810327e-32,-5.210064188109117086e-32
1.250000000000000000e+00,4.057588486706889356e-28,-1.159414449925426338e-28
1.500000000000000000e+00,4.516538921429709146e-26,-1.972411882480172204e-26
1.750000000000000000e+00,-2.267698290507089223e-22,9.535133162531533345e-23
2.000000000000000000e+00,-2.442918986303118444e-19,1.247824164709502471e-19
2.250000000000000000e+00,-1.054714396482074577e-16,6.341551225628490904e-17
2.500000000000000000e+00,-2.150946496412771759e-14,1.503768724830177467e-14
2.750000000000000000e+00,-2.070440411076665763e-12,1.671131720717948658e-12
3.000000000000000000e+00,-8.905719896546852386e-11,8.254429504553985784e-11
3.250000000000000000e+00,-1.740471960113691356e-09,1.841982995188992454e-09
3.500000000000000000e+00,-1.701265751401493093e-08,2.041782270629588603e-08
3.750000000000000000e+00,-9.372561484380678836e-08,1.263684115792406676e-07
4.000000000000000000e+00,-3.273328813361456360e-07,4.890624153391652654e-07
4.250000000000000000e+00,-8.076819658281977117e-07,1.311342785866055116e-06
4.500000000000000000e+00,-1.548674086959108226e-06,2.662608766684005748e-06
4.750000000000000000e+00,-2.495192113877426111e-06,4.404126947121705426e-06
5.000000000000000000e+00,-3.583563090580453495e-06,6.278153094718397209e-06
5.250000000000000000e+00,-4.779083444725801558e-06,8.035879352335546241e-06
5.500000000000000000e+00,-6.074045208217631860e-06,9.505904346524289892e-06
5.750000000000000000e+00,-7.469176496607644356e-06,1.060439206334930216e-05
6.000000000000000000e+00,-8.957396193874314237e-06,1.131845235005490412e-05
6.250000000000000000e+00,-1.051620761301444931e-05,1.168341307768313432e-05
6.500000000000000000e+00,-1.210695932414079521e-05,1.176251400136987547e-05
6.750000000000000000e+00,-1.367689157361420996e-05,1.163094236022415819e-05
7.000000000000000000e+00,-1.516204099713142162e-05,1.136337845739891653e-05
7.250000000000000000e+00,-1.649172947043103937e-05,1.102421287373754277e-05
7.500000000000000000e+00,-1.759562561588545181e-05,1.066068749707816687e-05
7.750000000000000000e+00,-1.841280627416570063e-05,1.029977007532212242e-05
8.000000000000000000e+00,-1.890091678119806462e-05,9.949167409206025739e-06
8.250000000000000000e+00,-1.904344610981273652e-05,9.602069390658921400e-06
8.500000000000000000e+00,-1.885391117485293264e-05,9.244612201296210040e-06
8.750000000000000000e+00,-1.837660459857965123e-05,8.864853810587813314e-06
9.000000000000000000e+00,-1.768408245683669630e-05,8.462145933970866959e-06
9.250000000000000000e+00,-1.687175530552663421e-05,8.055976022037694746e-06
9.500000000000000000e+00,-1.604997042347866725e-05,7.693527302892817882e-06
9.750000000000000000e+00,-1.533398149822988609e-05,7.455334414123200214e-06
1.000000000000000000e+01,-1.483225480571093055e-05,7.458511366613749671e-06
1.025000000000000000e+01,-1.463365723135562735e-05,7.857125009908498000e-06
1.050000000000000000e+01,-1.479418393342990798e-05,8.839404189004666592e-06
1.075000000000000000e+01,-1.532398091186482154e-05,1.062162123842082740e-05
1.100000000000000000e+01,-1.617547684969673262e-05,1.343865094588717300e-05
1.125000000000000000e+01,-1.723344861580996244e-05,1.753138950529059575e-05
1.150000000000000000e+01,-1.830780527515612008e-05,2.313139464333543213e-05
1.175000000000000000e+01,-1.912979054051785327e-05,3.044328374421630413e-05
1.200000000000000000e+01,-1.935218003183537022e-05,3.962558915838886476e-05
1.225000000000000000e+01,-1.855389663644347131e-05,5.077090347964510536e-05
1.250000000000000000e+01,-1.624929315826719947e-05,6.388624227177339414e-05
1.275000000000000000e+01,-1.190216069268230227e-05,7.887460726823910303e-05
1.300000000000000000e+01,-4.944316787509007771e-06,9.551875220679435915e-05
1.325000000000000000e+01,5.201582825659007037e-06,1.134681352334188423e-04
1.350000000000000000e+01,1.909556866910100140e-05,1.322299834928242462e-04
1.375000000000000000e+01,3.725096382211259258e-05,1.511652976605155733e-04
1.400000000000000000e+01,6.010298206834423685e-05,1.694904907400727968e-04
1.425000000000000000e+01,8.797637010707451714e-05,1.862851904184120862e-04
1.450000000000000000e+01,1.210532633066429496e-04,2.005065404763678514e-04
1.475000000000000000e+01,1.593425091523657561e-04,2.110101182919426753e-04
1.500000000000000000e+01,2.026517558102934830e-04,2.165773499900633490e-04
1.525000000000000000e+01,2.505635995466100915e-04,2.159490627846176762e-04
1.550000000000000000e+01,3.024170337324879145e-04,2.078645756464950580e-04
1.575000000000000000e+01,3.572953477568978093e-04,1.911055009625615346e-04
1.600000000000000000e+01,4.140214919763703268e-04,1.645432135762863357e-04
1.625000000000000000e+01,4.711617585708719131e-04,1.271887421950925780e-04
1.650000000000000000e+01,5.270384274802288049e-04,7.824366044018183492e-05
1.675000000000000000e+01,5.797517893855759887e-04,1.715041450823393001e-05
1.700000000000000000e+01,6.272116861298051215e-04,-5.635957067432582229e-05
1.725000000000000000e+01,6.671784121388999811e-04,-1.422217206884372786e-04
1.750000000000000000e+01,6.973125095088880503e-04,-2.399998143945038373e-04
1.775000000000000000e+01,7.152326722698683532e-04,-3.488548751234914181e-04
1.800000000000000000e+01,7.185806613123068036e-04,-4.675230491347289624e-04
1.825000000000000000e+01,7.050918434784894488e-04,-5.943038278876353097e-04
1.850000000000000000e+01,6.726697406535249273e-04,-7.270596398206768604e-04
1.875000000000000000e+01,6.194628243663841691e-04,-8.632275331029047507e-04
1.900000000000000000e+01,5.439416867175495126e-04,-9.998435010143587320e-04
1.925000000000000000e+01,4.449745885017551391e-04,-1.133579949960201007e-03
1.950000000000000000e+01,3.218991829530321210e-04,-1.260796706777295335e-03
1.975000000000000000e+01,1.745879817462062762e-04,-1.377605599868365113e-03
2.000000000000000000e+01,3.505000923712690099e-06,-1.479947965862252928e-03
2.025000000000000000e+01,-1.902488686255726863e-04,-1.563683601405666543e-03
2.050000000000000000e+01,-4.049038540574192643e-04,-1.624689005366971098e-03
2.075000000000000000e+01,-6.380042359851678885e-04,-1.658962467349002316e-03
2.100000000000000000e+01,-8.864073425424167122e-04,-1.662733640086658162e-03
